                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.65608,                0.41223,                0.97199,                0.89095,                0.72437,                0.82139,                0.64393,                0.88368,                0.75154,                 1.2318,             0.00095186,             0.00095186,             0.00095186
                    132,                0.65151,                0.41468,                0.97651,                0.85612,                0.76679,                0.83902,                0.66189,                0.85201,                0.72412,                 1.2134,             0.00094636,             0.00094636,             0.00094636
                    133,                0.64396,                0.40701,                 0.9762,                0.89127,                0.76315,                0.83501,                0.66113,                 0.8507,                0.69342,                 1.2383,             0.00094085,             0.00094085,             0.00094085
                    134,                0.64498,                0.41214,                0.97621,                0.87653,                0.76348,                0.82881,                0.66262,                0.84257,                0.67388,                 1.2324,             0.00093535,             0.00093535,             0.00093535
                    135,                0.62353,                0.40503,                0.95891,                0.87388,                0.73818,                0.82809,                0.64547,                0.86889,                0.66932,                 1.2842,             0.00092985,             0.00092985,             0.00092985
                    136,                0.62131,                0.38849,                0.96209,                0.90472,                0.72948,                0.83175,                0.65496,                0.87506,                0.69304,                 1.2858,             0.00092435,             0.00092435,             0.00092435
                    137,                0.63087,                0.39935,                0.95783,                0.90376,                0.72326,                0.81562,                0.64878,                0.87104,                 0.7219,                 1.2576,             0.00091885,             0.00091885,             0.00091885
                    138,                0.61964,                0.38684,                0.94548,                0.91336,                0.75933,                0.83717,                0.65921,                0.84921,                 0.6975,                 1.2208,             0.00091335,             0.00091335,             0.00091335
                    139,                0.62506,                0.39721,                0.95316,                0.86622,                0.77556,                 0.8303,                0.65113,                0.85012,                0.65189,                 1.2472,             0.00090785,             0.00090785,             0.00090785
                    140,                0.63912,                0.41108,                0.96326,                 0.8892,                0.75871,                0.81846,                0.64656,                 0.8568,                0.63705,                 1.2584,             0.00090235,             0.00090235,             0.00090235
                    141,                0.62923,                0.39357,                0.95228,                0.88058,                0.77512,                0.83428,                0.65078,                0.84001,                0.64501,                 1.2397,             0.00089685,             0.00089685,             0.00089685
                    142,                0.63084,                0.38844,                0.95398,                0.90214,                0.76306,                0.82544,                0.65428,                0.83678,                 0.6332,                 1.2447,             0.00089134,             0.00089134,             0.00089134
                    143,                0.59583,                0.37588,                0.94607,                0.87775,                 0.7771,                0.82777,                0.65625,                0.85071,                 0.6597,                 1.2445,             0.00088584,             0.00088584,             0.00088584
                    144,                  0.605,                0.38037,                0.93476,                0.84405,                0.80532,                0.83682,                0.67105,                0.81962,                0.65262,                 1.2162,             0.00088034,             0.00088034,             0.00088034
                    145,                 0.6011,                0.37413,                0.93619,                0.91286,                0.74627,                0.83401,                0.67121,                0.82709,                0.65674,                 1.2293,             0.00087484,             0.00087484,             0.00087484
                    146,                0.59305,                0.37756,                0.95142,                0.92672,                0.74885,                0.83934,                0.67467,                0.83066,                0.65606,                 1.2489,             0.00086934,             0.00086934,             0.00086934
                    147,                  0.602,                0.37989,                0.94771,                0.94807,                0.72512,                0.83478,                0.66522,                0.82961,                0.70462,                 1.2346,             0.00086384,             0.00086384,             0.00086384
                    148,                0.59571,                0.38503,                0.95331,                0.90635,                0.77612,                0.83257,                0.66456,                0.83688,                0.68089,                 1.2128,             0.00085834,             0.00085834,             0.00085834
